"RS Stock No","Quantity","Label","Pack Size","Cost Centre","Description","Manufacturer Part. No.","Manufacturer name","Unit Price","Total Price"
"1682629",2,"Each",1,,"Idec YW Series Twist Release Illuminated Emergency Stop Push Button, Panel Mount, 22mm Cutout, 2NC, IP65","YW1L-V4E02Q4R","Idec",21.16,42.32
"8742298",2,"Each",1,,"Siemens Yellow Plastic SIRIUS ACT 3SU18 Push Button Enclosure - 1 Hole 22mm Diameter","3SU1801-0AA00-0AA2","Siemens",11.36,22.72
"2085180",4,"Each",1,,"RS PRO Cable Mount XLR Connector, Female, 75 V, 7 Way, Nickel Plating",,"RS PRO",8.7,34.8
"2085184",2,"Each",1,,"RS PRO Panel Mount XLR Connector, Female, 50 V, 7 Way, Nickel Plating",,"RS PRO",13.88,27.76
"2617560",1,"Each",1,,"Amphenol Industrial Chassis Mount XLR Connector, Male, IP40, 133 V, 4 Way, Silver Plating","AC4MDZB","Amphenol Industrial",5.89,5.89
"0457908",1,"Each",1,,"RS PRO Cable Mount XLR Connector, Male, 250 V ac, 4 Way, Silver Plating",,"RS PRO",3.75,3.75
"9093714",1,"Each",1,,"Neutrik EtherCon Series 2-Port RJ45 Female Adapter, Cat5e, Unshielded","RSNE8FDP-B","Neutrik",15.45,15.45
"2229358",1,"Each",1,,"RS PRO Steel Wall Box, IP66, 200 mm x 200 mm x 150 mm",,"RS PRO",37.14,37.14
"8274293",1,"1 Reel of 50 Metre(s)",50,,"RS PRO Control Cable, 7 Cores 0.5 mm² 20 AWG, Unscreened, 50 m, Grey Polyvinyl Chloride Sheath",,"RS PRO",77.97,77.97
"6694664",1,"1 Bag of 5",5,,"RS PRO Black Nylon Cable Gland, M20 Thread, 6mm min., 12mm max., IP68",,"RS PRO",6.66,6.66
"1787289",100,"Each (In a Bag of 100)",100,,"RS PRO Insulated Crimp Bootlace Ferrule, 10mm Pin Length, 1.0mm Pin Diameter, 0.5mm² Wire Size, White",,"RS PRO",0.027,2.7
"0411362",1,"Each",1,,"RS PRO, 0.5 m Cat6 Ethernet Cable, Green RJ45 to Male RJ45 Male Polyvinyl Chloride Sheath, S/FTP",,"RS PRO",2.83,2.83
"0467406",1,"Each",1,,"RS PRO Steel Slotted DIN Rail, Top Hat Compatible, 500mm x 35mm x 7.5mm",,"RS PRO",4.56,4.56
"8837548",1,"1 Pack of 10",10,,"WAGO 221 Series Lever Connector, 3-Way, 32A, 24 → 12 AWG Wire, Cage Clamp Termination","221-413","WAGO",5.36,5.36
"0560596",1,"1 Bag of 100",100,,"RS PRO Pozi M3 Pan Steel Machine Screws DIN 7985 x 10.0mm",,"RS PRO",3.32,3.32
"0524281",1,"1 Bag of 100",100,,"RS PRO, Bright Zinc Plated Steel Lock Nut, DIN 985, M3",,"RS PRO",4.78,4.78
"0232563",1,"Each",1,,"RS PRO HSS Step Drill Bit 4mm x 30mm",,"RS PRO",48.25,48.25
"0166608",4,"Each",1,,"Neutrik Cable Mount XLR Connector, Male, 50 V, 7 Way, Silver over Nickel Plating","NC7MXX","Neutrik",7.97,31.88
